     Age(yr)        Int(microT)  1-sigma Int (microT)
  -1.3000000e+03   5.5359970e+01   7.6015185e+00
  -1.2900000e+03   5.4769877e+01   7.1753160e+00
  -1.2800000e+03   5.4037488e+01   7.0006822e+00
  -1.2700000e+03   5.3263238e+01   6.6905561e+00
  -1.2600000e+03   5.2551950e+01   6.2777888e+00
  -1.2500000e+03   5.2017165e+01   6.4142926e+00
  -1.2400000e+03   5.1757573e+01   5.9050624e+00
  -1.2300000e+03   5.1807917e+01   5.5799353e+00
  -1.2200000e+03   5.2186280e+01   5.3355110e+00
  -1.2100000e+03   5.2857124e+01   4.9018928e+00
  -1.2000000e+03   5.3730118e+01   4.8829354e+00
  -1.1900000e+03   5.4701184e+01   4.6057834e+00
  -1.1800000e+03   5.5623554e+01   4.5619726e+00
  -1.1700000e+03   5.6342112e+01   4.4796291e+00
  -1.1600000e+03   5.6752381e+01   4.3891366e+00
  -1.1500000e+03   5.6800771e+01   4.7087650e+00
  -1.1400000e+03   5.6468976e+01   4.9867501e+00
  -1.1300000e+03   5.5868618e+01   5.6581072e+00
  -1.1200000e+03   5.5143893e+01   5.8730229e+00
  -1.1100000e+03   5.4467437e+01   5.8661835e+00
  -1.1000000e+03   5.4040390e+01   6.1188076e+00
  -1.0900000e+03   5.4044467e+01   5.8347050e+00
  -1.0800000e+03   5.4581791e+01   5.8685209e+00
  -1.0700000e+03   5.5733526e+01   5.7410954e+00
  -1.0600000e+03   5.7490789e+01   5.2312050e+00
  -1.0500000e+03   5.9752149e+01   5.1427712e+00
  -1.0400000e+03   6.2394202e+01   4.9802775e+00
  -1.0300000e+03   6.5223160e+01   5.1496090e+00
  -1.0200000e+03   6.8024317e+01   5.2114740e+00
  -1.0100000e+03   7.0605403e+01   5.1896547e+00
  -1.0000000e+03   7.2798056e+01   5.4512054e+00
  -9.9000000e+02   7.4451846e+01   5.5016356e+00
  -9.8000000e+02   7.5490274e+01   5.9466847e+00
  -9.7000000e+02   7.5860008e+01   5.9987550e+00
  -9.6000000e+02   7.5595749e+01   5.7829936e+00
  -9.5000000e+02   7.4820380e+01   5.9363031e+00
  -9.4000000e+02   7.3660731e+01   5.6455071e+00
  -9.3000000e+02   7.2241822e+01   5.6501352e+00
  -9.2000000e+02   7.0687425e+01   5.5617649e+00
  -9.1000000e+02   6.9106469e+01   5.1583914e+00
  -9.0000000e+02   6.7593108e+01   5.0218281e+00
  -8.9000000e+02   6.6235070e+01   4.6577861e+00
  -8.8000000e+02   6.5097299e+01   4.6568770e+00
  -8.7000000e+02   6.4239481e+01   4.5876577e+00
  -8.6000000e+02   6.3717872e+01   4.3300517e+00
  -8.5000000e+02   6.3584769e+01   4.3799775e+00
  -8.4000000e+02   6.3880181e+01   4.1865766e+00
  -8.3000000e+02   6.4596025e+01   4.2939108e+00
  -8.2000000e+02   6.5708972e+01   4.3052630e+00
  -8.1000000e+02   6.7137680e+01   4.1346941e+00
  -8.0000000e+02   6.8742650e+01   4.2120041e+00
  -7.9000000e+02   7.0377345e+01   4.0621585e+00
  -7.8000000e+02   7.1880127e+01   4.2095595e+00
