# Central Age	Nb results taken into account	Weighted Nb	Half window	F mean	 SD on Fmean	mean of SD's	Stratified SD	SE	95% error (t=2.5)
-955	7	3.15	47.5	61.5	7.24	4.8	8.69	4.08	10.20
-925	9	3.21	30	62.17	6.85	4.72	8.32	3.82	9.56
-895	8	3.14	30	62.26	6.52	4.88	8.14	3.68	9.20
-862.5	8	3.19	32.5	61	7.27	4.85	8.74	4.07	10.18
-830	7	3.1	32.5	59.89	7.95	4.65	9.21	4.52	11.29
-797.5	14	3.19	32.5	59.96	11.41	4.6	12.3	6.39	15.97
-767.5	8	3.14	30	60.15	13.1	4.43	13.83	7.39	18.48
-740	9	3.13	27.5	60.33	12.62	4.41	13.37	7.13	17.83
-705	9	3.17	35	61.39	13.77	4.83	14.6	7.73	19.34
-665	9	3.17	40	67.41	16.14	5.31	17	9.07	22.66
-625	9	3.11	40	75.68	14.76	5.12	15.63	8.37	20.92
-555	7	3.08	70	82.77	8.84	5.2	10.25	5.04	12.59
-500	10	3.24	55	79.83	7.11	6.52	9.65	3.95	9.88
-467.5	8	3.05	32.5	78.5	5.51	7.24	9.1	3.16	7.89
-442.5	8	3.19	25	77.52	4.42	7.51	8.71	2.47	6.19
-417.5	8	3.23	25	75.07	5.38	7.27	9.05	2.99	7.48
-390	10	3.27	27.5	72.67	6.68	6.15	9.08	3.69	9.24
-342.5	9	3.14	47.5	68.37	7.01	4.64	8.41	3.96	9.89
-287.5	6	3.13	55	67.37	8.19	4	9.11	4.63	11.57
-245	7	3.27	42.5	64.18	9.2	4.5	10.24	5.09	12.72
-212.5	7	3.29	32.5	60.24	7.39	4.83	8.83	4.07	10.19
-180	7	3.01	32.5	61.79	8.05	4.68	9.31	4.64	11.60
-142.5	8	3.23	37.5	61.96	9.37	5.87	11.06	5.21	13.03
-117.5	6	3.27	25	61.99	8.89	6.53	11.03	4.92	12.29
-95	7	3.16	22.5	61.95	8.51	7.13	11.1	4.79	11.97
-67.5	8	3.13	27.5	61.74	8.43	5.82	10.25	4.76	11.91
-40	7	3.1	27.5	63.44	5.51	4.2	6.93	3.13	7.82
-2.5	5	3.1	37.5	64.97	1.38	3.82	4.07	0.78	1.96
40	5	3.19	42.5	66.61	2.37	4.08	4.72	1.33	3.32
77.5	7	3.18	37.5	66.19	3.56	5.43	6.49	2.00	4.99
107.5	6	3.18	30	63.67	3.75	6.49	7.5	2.10	5.26
132.5	5	3.27	25	63.06	3.46	6.54	7.4	1.91	4.78
167.5	7	3.2	35	66.38	3.86	5.26	6.52	2.16	5.39
195	7	3.12	27.5	69.33	1.57	4.65	4.9	0.89	2.22
212.5	6	3.04	17.5	69.29	1.55	4.92	5.16	0.89	2.22
240	6	3.12	27.5	69.67	1.62	5.35	5.59	0.92	2.29
277.5	6	3.12	37.5	69.34	2.22	5.13	5.59	1.26	3.14
305	6	3.03	27.5	67.36	3.18	4.13	5.21	1.83	4.57
330	5	3.1	25	64.68	3.44	3.37	4.81	1.95	4.88
370	8	3.19	40	64.9	3.17	3.01	4.37	1.77	4.44
415	5	3.14	45	65.54	2.41	2.6	3.55	1.36	3.40
462.5	5	3.02	47.5	65.4	2.63	2.56	3.67	1.51	3.78
515	8	3.22	52.5	72.12	5.58	2.1	5.97	3.11	7.77
547.5	6	3.02	32.5	76.45	2.77	1.76	3.28	1.59	3.98
567.5	5	3.05	20	77.58	2.01	1.68	2.62	1.15	2.88
587.5	7	3.09	20	79.39	3.67	3.09	4.8	2.09	5.22
612.5	9	3.23	25	80.76	5.75	4.5	7.3	3.20	8.00
