#    Lat      Long     Age       dt    Int-Kilauea  sd   rep
   19.6382  204.488  1843.00  0.100000  39.0945  2.39354 0
   19.8627  204.092  1859.00  0.100000  38.7868  1.98907 0
   19.6856  204.536  1935.00  0.100000  35.3837  2.19279 0
   19.2641  204.126  1950.00  0.100000  34.8669  3.20615 0
   19.5159  204.190  1960.00  0.100000  35.9574  3.19622 0
   19.3622  205.033  1990.00  0.100000  32.7233  1.30093 0
   19.7300  204.580 -2650.00  190.000  54.0923  4.98087 0
   19.7000  204.120 -2440.00  70.0000  47.9338  8.55036 0
   19.7000  204.120 -2440.00  70.0000  57.6501  14.1908 0
   19.6900  204.850 -2260.00  80.0000  60.7868  4.64447 0
   19.7000  204.100 -2170.00  500.000  46.0404  7.83284 0
   19.7100  204.880 -2100.00  50.0000  50.4189  1.69392 0
   19.0700  204.390 -1770.00  250.000  55.0362  2.71164 0
   19.4400  204.650 -1680.00  80.0000  67.8233  7.04826 0
   19.4400  204.650 -1680.00  80.0000  67.8233  7.04826 0
   19.4400  204.650 -1680.00  80.0000  57.3059  5.16872 0
   19.3000  204.690 -1530.00  80.0000  55.1815  8.33230 0
   19.3000  204.690 -1530.00  60.0000  45.4671  10.3152 0
   19.7000  204.100 -1400.00  30.0000  35.8557  4.40473 0
   19.7900  204.100 -1080.00  200.000  75.7524  18.9381 0
   19.6400  204.960 -940.000  70.0000  53.6540  11.5685 0
   19.5100  204.170 -890.000  60.0000  54.9090  4.46504 0
   19.5100  204.170 -890.000  60.0000  87.5727  12.6060 0
   19.4500  204.760 -820.000  150.000  75.9819  4.39837 0
   19.4500  204.760 -820.000  150.000  72.0033  9.68641 0
   19.4500  204.760 -820.000  150.000  57.7686  11.3258 0
   19.5400  204.660 -600.000  80.0000  42.7366  2.29659 0
   19.7100  204.150 -440.000  60.0000  56.1284  6.90520 0
   19.7100  204.150 -440.000  60.0000  63.9404  6.67603 0
   19.7100  204.150 -440.000  60.0000  58.1213  6.91516 0
