#   Lat.    Long.    Age       dt    Int-46°N   sd    rep
 45.6650  3.18900 -925.000  25.0000  61.8127  5.51899 0
 45.6650  3.18900 -925.000  25.0000  66.7296  3.91347 0
 45.6650  3.18900 -850.000  50.0000  58.0999  4.11415 0
 45.6650  3.18900 -850.000  50.0000  69.4389  5.41864 0
 45.6650  3.18900 -875.000  75.0000  59.9061  5.31830 0
 43.1600  3.00000  0.000000  30.0000  64.9185  3.40049 0
 43.1600  3.00000  70.0000  20.0000  67.9068  2.67917 0
 43.3600  1.26000 -15.0000  65.0000  63.2354  4.11287 0
 43.3600  1.26000  20.0000  40.0000  61.6931  3.08465 0
 43.1600  3.00000  130.000  30.0000  62.9606  4.63704 0
 43.1600  3.00000  150.000  30.0000  65.6398  4.32790 0
 47.4900  6.23000  185.000  35.0000  69.0546  3.34930 0
 43.5650  3.90700 -275.000  25.0000  75.0991  2.77005 0
 45.7800  4.81000 -450.000  50.0000  77.4749  10.5238 0
 48.6200  7.50000 -45.0000  15.0000  61.6702  3.50731 0
 42.6990  2.89600 -612.500  27.5000  77.3631  2.79625 0
 50.4500  1.70000 -225.000  25.0000  52.7612  5.26655 0
 47.9110  4.53300 -571.000  178.000  64.8443  5.39552 0
 43.6910  4.13500 -293.500  92.5000  68.6450  3.27857 0
 43.3300  3.25000 -437.500  87.5000  72.1015  2.87995 0
 43.2670  3.50000 -115.000  25.0000  64.6372  4.11702 0
 44.8310 -0.03900 -190.000  20.0000  51.0153  4.45372 0
 44.8310 -0.03900 -190.000  20.0000  67.0082  4.45372 0
 43.5000  5.62000 -435.000  35.0000  76.9998  8.82931 0
 44.9340  4.89500 -40.0000  10.0000  62.7902  4.65112 0
 42.9800  2.17000 -100.000  50.0000  40.8859  4.64613 0
 50.3753  1.92000 -225.000  135.000  59.1219  4.31197 0
 50.3753  1.92000 -290.000  100.000  59.9843  5.36600 0
 44.4180  0.733000 -100.000  25.0000  61.7095  8.64135 0
 48.8000  6.57000 -585.000  176.000  77.9024  14.1022 0
 48.8000  6.57000 -672.000  129.000  84.2240  6.71069 0
 47.6000  7.60000 -125.000  75.0000  73.8405  4.82167 0
 46.6000  6.50000 -885.000  85.0000  50.0135  3.57807 0
 42.5000  11.2000 -100.000  100.000  63.2092  0.622749 0
 42.5000  11.2000 -50.0000  50.0000  72.4467  3.21754 0
 42.5000  11.2000 -50.0000  50.0000  69.0216  3.84030 0
 42.5000  11.2000 -50.0000  50.0000  64.5585  4.35926 0
 42.5000  11.2000  50.0000  50.0000  65.1813  3.21754 0
 42.5000  11.2000  0.000000  100.000  66.9457  3.42513 0
 42.1000  11.8000 -650.000  20.0000  85.4863  1.87653 0
 47.5190  14.8000 -1355.00  105.000  52.4901  4.92402 0
 46.8300  6.88000 -775.000  75.0000  46.4071  2.08237 0
 46.1800  11.2600 -1220.00  180.000  57.6937  2.59521 0
 46.1700  11.8300 -1175.00  175.000  53.1075  2.99479 0
 46.8100  6.80000 -725.000  75.0000  57.6238  15.3730 0
 48.1000  11.7000 -710.000  90.0000  70.5015  7.05015 0
 48.1000  11.7000 -710.000  90.0000  61.6888  17.0379 0
 48.1000  11.7000 -710.000  90.0000  62.1784  13.0232 0
 48.1000  11.7000 -750.000  30.0000  57.9679  2.54589 0
 48.1000  11.7000 -680.000  80.0000  58.1638  17.0379 0
 48.0000  11.5000 -1157.50  112.500  53.7121  4.01860 0
 48.0000  11.5000 -1157.50  112.500  46.9490  3.43051 0
 48.0000  11.5000 -1157.50  112.500  53.0259  2.74441 0
 48.8000  11.5000 -600.000  60.0000  91.3237  6.02989 0
 48.8000  11.5000 -710.000  90.0000  67.0096  11.8653 0
 48.8000  11.5000 -710.000  90.0000  46.7803  1.65336 0
 48.8000  11.5000 -710.000  90.0000  52.2267  6.32166 0
 48.2000  10.9000 -1280.00  80.0000  53.0202  2.83688 0
 48.2000  10.9000 -1280.00  80.0000  50.7703  4.20640 0
 48.2000  10.9000 -1060.00  40.0000  62.9003  1.27171 0
 48.2000  10.9000 -1280.00  80.0000  54.3897  2.64123 0
 48.2000  10.9000 -1150.00  50.0000  57.7157  5.96721 0
 48.2000  10.9000 -1280.00  80.0000  47.4443  1.76082 0
 48.2000  10.9000 -1280.00  80.0000  50.4768  0.880413 0
 48.2000  10.9000 -1170.00  50.0000  60.1613  3.61946 0
 48.2000  10.9000 -1280.00  80.0000  52.5311  4.89116 0
 48.2000  10.9000 -1320.00  40.0000  51.7485  2.05429 0
 48.2000  10.9000 -1280.00  80.0000  51.7485  3.52164 0
 48.2000  10.9000 -1050.00  150.000  60.7482  9.39103 0
 48.2000  10.9000 -1350.00  50.0000  52.9224  0.195648 0
 48.2000  10.9000 -1350.00  50.0000  52.2376  4.01075 0
 48.2000  10.9000 -1320.00  40.0000  50.7703  3.32599 0
 48.1000  11.4000 -925.000  125.000  64.6264  6.16889 0
 48.1000  11.4000 -875.000  75.0000  55.9116  3.72091 0
 48.1000  11.4000 -875.000  75.0000  47.9802  3.72091 0
 48.1000  11.6000 -410.000  50.0000  70.8932  7.73559 0
 48.1000  11.6000 -410.000  50.0000  77.5517  6.36472 0
 48.1000  11.6000 -370.000  50.0000  59.0450  0.783348 0
 48.1000  11.6000 -410.000  50.0000  73.3412  4.79803 0
 48.1000  11.6000 -490.000  50.0000  85.0914  2.44797 0
