# All ages are BC
# 
# Level: fragment, group of fragments, structure (frag., group, struct.)
# Type: type of artifact (Pottery, Brick, Baked Clay, Slag)
# Sampling: age distribution (Uniform, Gaussian)
# 2 last columns:
# when 0 0: no stratification at all
# when 0 1: fragments within a layer with no stratification in between, but with a stratification between the layers
# 
# 
#  Ref    level  type       age        dt      Int      sd  Samp. strat.
# 
hz05a frag. P -766.0 34.0000 89.8766 0.27000 U 0 
hz05b frag. P -766.0 34.0000 77.1725 4.49000 U 0 
hz05c frag. P -766.0 34.0000 84.7786 0.34000 U 0 
hz05e frag. P -766.0 34.0000 68.9241 0.39000 U 0 
hz05f frag. P -766.0 34.0000 83.1167 1.90000 U 0 
hz05g frag. P -766.0 34.0000 74.6949 1.73000 U 0 
hz06a frag. P -766.0 34.0000 69.1382 3.12000 U 0 
hz06b frag. P -766.0 34.0000 72.0440 0.76000 U 0 
hz06c frag. P -766.0 34.0000 79.2117 0.03000 U 0 
hz07a frag. P -850.0 50.0000 65.6308 0.21000 U 0 
hz07b frag. P -850.0 50.0000 73.4408 0.50000 U 0 
hz07c frag. P -850.0 50.0000 58.1980 3.26000 U 0 
hz07d frag. P -850.0 50.0000 69.9641 2.80000 U 0 
hz07e frag. P -850.0 50.0000 77.2745 1.54000 U 0 
hz09a frag. P -1050.0 50.0000 67.5374 1.63000 U 0 
hz10b frag. P -1000.0 50.0000 78.7835 0.05000 U 0 
hz10c frag. P -1000.0 50.0000 66.0590 2.90000 U 0 
hz10d frag. P -1000.0 50.0000 67.2010 1.25000 U 0 
hz11a frag. P -1050.0 50.0000 69.7295 0.03000 U 0 
hz11b frag. P -1050.0 50.0000 62.3375 0.08000 U 0 
hz11c frag. P -1050.0 50.0000 60.6042 3.08000 U 0 
hz13a frag. P -1300.0 50.0000 61.3995 1.72000 U 0 
hz13b frag. P -1300.0 50.0000 56.1996 1.00000 U 0 
hz13e frag. P -1300.0 50.0000 61.1344 0.28000 U 0 
hz13f frag. P -1300.0 50.0000 57.7698 0.20000 U 0 
hz15a frag. P -1550.0 100.000 51.0915 0.04000 U 0 
hz15b frag. P -1550.0 100.000 49.7456 1.57000 U 0 
mgf10a frag. P -1450.0 50.0000 50.9723 0.59000 U 0 
mgf10b frag. P -1450.0 50.0000 51.2491 2.83000 U 0 
mgf10d frag. P -1450.0 50.0000 53.4737 2.26000 U 0 
mgf13b frag. P -1800.0 100.000 39.3467 1.77000 U 0 
mgf13d frag. P -1800.0 100.000 43.7345 0.89000 U 0 
mgf13e frag. P -1800.0 100.000 44.3291 2.47000 U 0 
mgf13f frag. P -1800.0 100.000 43.9190 0.20000 U 0 
mgh03b frag. P -766.0 34.0000 77.0120 2.64000 U 0 
mgh03f frag. P -766.0 34.0000 82.4865 2.58000 U 0 
mgh03g frag. P -766.0 34.0000 95.7935 4.60000 U 0 
mgh03h frag. P -766.0 34.0000 77.7707 3.13000 U 0 
mgh03i frag. P -766.0 34.0000 81.8714 1.20000 U 0 
mgh03j frag. P -766.0 34.0000 92.0003 0.40000 U 0 
mgh07b frag. P -900.0 50.0000 76.5405 2.53000 U 0 
mgh07d frag. P -900.0 50.0000 69.5179 2.41000 U 0 
mgh09h frag. P -1000.0 50.0000 68.1134 0.31000 U 0 
mgh09j frag. P -1000.0 50.0000 75.5665 0.03000 U 0 
mgh09k frag. P -1000.0 50.0000 85.0187 0.06000 U 0 
mgh09l frag. P -1000.0 50.0000 85.6851 0.46000 U 0 
mgh09m frag. P -1000.0 50.0000 68.8208 2.71000 U 0 
mgh12 frag. P -1125.0 25.0000 62.2596 0.64000 U 0 
mgk06a frag. P -1155.0 25.0000 68.2774 0.83000 U 0 
mgk06b frag. P -1155.0 25.0000 63.9307 3.03000 U 0 
mgk06c frag. P -1155.0 25.0000 63.9409 2.45000 U 0 
mgk06d frag. P -1155.0 25.0000 62.2186 0.46000 U 0 
mgk08a frag. P -1250.0 50.0000 60.2502 0.77000 U 0 
mgk08b frag. P -1250.0 50.0000 60.5578 3.43000 U 0 
mgk08c frag. P -1250.0 50.0000 64.5048 0.25000 U 0 
mgk08e frag. P -1250.0 50.0000 57.0209 0.83000 U 0 
mgk09t frag. P -1350.0 50.0000 53.6993 3.99000 U 0 
mgq05t1 frag. P -900.0 50.0000 70.3996 0.69000 U 0 
mgq05t2 frag. P -900.0 50.0000 65.7862 1.25000 U 0 
e10482a frag. S -864.5 0.25 68.9544 1.81000 N 0 
x00674b frag. S -998.5 0.25 83.3987 3.65000 N 0 
s1s84 frag. S -1032.5 2.25 84.1526 2.27000 N 1 
s1s90 frag. S -1032.5 2.25 79.5926 0.01000 N 1 
s1s94 frag. S -1032.5 2.25 76.8183 2.02000 N 1 
s1s71 frag. S -1017.5 5.25 75.6703 2.49000 N 2 
s1s72 frag. S -1017.5 5.25 70.6320 0.53000 N 2 
s1s81 frag. S -1017.5 5.25 72.3859 0.04000 N 2 
s1s53 frag. S -998.5 4.25 77.7324 0.71000 N 3 
s1s54 frag. S -998.5 4.25 73.7571 2.44000 N 3 
s1s61 frag. S -998.5 4.25 80.9531 3.23000 N 3 
s1s47 frag. S -980.5 4.75 78.5828 5.12000 N 4 
s1s48 frag. S -980.5 4.75 73.2150 1.53000 N 4 
s1s52 frag. S -980.5 4.75 101.351 0.07000 N 4 
s1s100 frag. S -980.5 4.75 95.5898 4.02000 N 4 
s1s110 frag. S -980.5 4.75 78.0513 2.40000 N 4 
s1s44 frag. S -963.0 4.0 87.5540 2.51000 N 5 
s1s119 frag. S -963.0 4.0 73.9271 1.61000 N 5 
s1s124 frag. S -963.0 4.0 75.9786 2.55000 N 5 
s1s33 frag. S -947.0 4.0 71.2911 3.70000 N 6 
s1s37 frag. S -947.0 4.0 75.8829 5.62000 N 6 
s1s40a frag. S -947.0 4.0 74.5543 0.09000 N 6 
s1s42 frag. S -947.0 4.0 77.5411 3.39000 N 6 
s1s19 frag. S -934.5 2.25 76.1806 4.01000 N 7 
s1s20 frag. S -934.5 2.25 78.1364 0.33000 N 7 
s1s24 frag. S -934.5 2.25 87.5965 2.00000 N 7 
s1s12 frag. S -921.5 4.25 73.2469 0.68000 N 8 
s1s14 frag. S -921.5 4.25 69.2396 3.34000 N 8 
s1s16 frag. S -921.5 4.25 74.7669 0.90000 N 8 
s1s3 frag. S -904.0 4.5 71.9713 0.15000 N 9 
s1s6 frag. S -904.0 4.5 76.9565 2.58000 N 9 
s1s7 frag. S -904.0 4.5 76.9884 0.85000 N 9 
s1s9 frag. S -904.0 4.5 66.4866 0.16000 N 9 
s2s0 frag. S -892.5 1.25 85.6088 0.15000 N 10 
jh03a frag. P -716.5 15.5000 64.1943 4.92000 U 0 
jh06b frag. P -716.5 15.5000 87.2171 2.98000 U 0 
jh12a frag. P -716.5 15.5000 80.8910 2.61000 U 0 
jh10a frag. P -716.5 15.5000 74.0464 2.38000 U 0 
jh15d frag. P -675.5 25.5000 66.4758 0.06000 U 0 
jh20a frag. P -675.5 25.5000 74.2538 1.64000 U 0 
jh21a frag. P -675.5 25.5000 81.5132 0.79000 U 0 
jh24a frag. P -702.5 1.50000 79.5428 1.03000 U 0 
jh24d frag. P -702.5 1.50000 75.7057 2.83000 U 0 
jh24c frag. P -702.5 1.50000 70.7278 3.29000 U 0 
jh25b frag. P -690.0 60.0000 68.3425 1.44000 U 0 
