# Lat  Long  Age   dt    Int-Paris  sd    rep
# Comment lines begin with '#'
49.5 5.0 338.00 13.000 60.500 3.4000 0
49.5 5.0 413.00 13.000 63.500 2.8000 0
49.5 5.0 460.00 20.000 62.400 2.5000 0
48.82 2.3 550.00 25.000 73.600 1.8000 0
47.9000 1.90000 575.00 25.000 77.900 1.9000 0
47.9000 1.90000 575.00 25.000 77.700 1.4000 0
47.9000 1.90000 575.00 25.000 79.500 1.2000 0
47.9000 1.90000 600.00 25.000 79.300 2.5000 0
47.9000 1.90000 650.00 25.000 78.200 2.1000 0
47.9000 1.90000 650.00 25.000 76.800 1.5000 0
47.9200 1.83000 650.00 50.000 78.400 0.90000 0
47.9000 1.90000 675.00 25.000 78.800 1.3000 0
48.8200 2.30000 700.00 50.000 74.900 1.5000 0
47.9000 1.90000 700.00 25.000 72.700 3.6000 0
47.9000 1.90000 775.00 25.000 75.900 2.1000 0
47.9000 1.90000 775.00 25.000 78.800 3.1000 0
47.9000 1.90000 800.00 25.000 77.700 3.1000 0
47.9000 1.90000 825.00 25.000 79.100 2.6000 0
48.8200 2.30000 825.00 25.000 79.800 2.3000 0
47.9000 1.90000 825.00 25.000 80.900 3.8000 0
47.9000 1.90000 825.00 25.000 79.800 1.9000 0
47.9000 1.90000 825.00 25.000 79.400 3.3000 0
48.9000 2.30000 896.50 26.500 74.400 1.5000 0
47.9000 1.90000 900.00 50.000 77.100 2.3000 0
49.1000 2.50000 960.00 40.000 61.700 4.5000 0
46.9800 3.17000 1000.0 25.000 58.400 3.0000 0
47.9000 1.90000 1075.0 25.000 60.900 3.2000 0
48.7000 2.05000 1125.0 25.000 62.900 1.6000 0
47.9000 1.90000 1137.5 37.500 66.300 3.0000 0
48.0700 5.67000 1175.0 15.000 56.900 1.1000 0
49.1000 2.50000 1225.0 25.000 53.700 4.1000 0
43.3000 5.40000 1237.5 12.500 53.400 3.4000 0
49.1000 2.50000 1275.0 25.000 54.600 2.6000 0
48.9 2.4 1325.0 25.000 57.800 1.5000 0
49.1000 2.50000 1325.0 25.000 51.900 3.0000 0
46.0000 5.40000 1326.5 3.5000 56.300 1.4000 0
48.9000 2.30000 1337.5 12.500 55.100 2.6000 0
47.5000 -2.80000 1340.0 10.000 58.700 1.7000 0
50.9000  4.00000 1360.0 0.50000 59.300 3.4000 0
49.1000 2.50000 1375.0 25.000 57.000 1.4000 0
49.1000 2.50000 1425.0 25.000 54.200 1.1000 0
47.9300 2.14000 1450.0 25.000 54.500 0.50000 0
47.0000 4.80000 1450.0 2.0000 52.000 2.1000 0
50.9000 4.00000 1486.5 11.500 49.500 2.2000 0
47.2000 5.20000 1495.0 0.50000 51.600 1.6000 0
47.9000 1.90000 1517.5 0.50000 50.900 0.80000 0
45.8000 4.90000 1525.0 15.000 50.100 4.4000 0
49.1000 2.50000 1525.0 25.000 52.600 3.2000 0
48.9000 2.30000 1535.0 5.0000 53.400 1.9000 0
49.4000 1.10000 1542.0 0.50000 52.300 2.1000 0
49.4000 1.10000 1550.0 1.0000 53.000 3.2000 0
47.9000 5.30000 1551.0 0.50000 53.200 1.2000 0
49.1000 2.50000 1560.0 10.000 52.400 0.90000 0
48.9000 2.30000 1561.0 11.000 52.400 2.1000 0
43.7000 5.60000 1577.0 7.0000 56.500 4.1000 0
47.4000 6.50000 1617.5 7.5000 52.900 1.5000 0
47.9000 1.90000 1630.0 0.50000 54.600 1.4000 0
43.6000 3.90000 1646.5 32.500 54.300 2.2000 0
43.6000 3.90000 1646.5 32.500 53.000 1.2000 0
43.6000 3.90000 1646.5 32.500 54.700 2.000 0
47.0000 3.20000 1670.0 10.000 46.400 2.0000 0
43.6000 3.90000 1676.0 16.000 51.400 3.4000 0
45.8000 4.90000 1732.5 0.50000 45.600 1.9000 0
47.0000 3.20000 1770.0 10.000 44.000 2.3000 0
47.8000 4.20000 1775.0 5.0000 43.400 2.1000 0
47.9000 1.90000 1797.5 0.50000 44.800 1.5000 0
49.1000 4.90000 1800.0 15.000 44.000 1.0000 0
47.8000 4.20000 1802.0 5.0000 44.600 1.3000 0
47.7000 3.30000 1832.5 13.500 44.700 1.8000 0
47.0000 3.20000 1833.0 15.000 44.600 0.10000 0
47.0000 3.20000 1850.0 5.0000 46.000 2.6000 0
53.38 -1.50 1900.0 1.0 48.355 1.0 0
53.5 -2.80 1645.0 10.0 40.3 5.0 0
43.36 1.26 1435.0 35.0 58.6 2.2 0
43.36 1.26 1445.0 25.0 57.4 1.8 0
47.4 -0.15 1700.0 50.0 52.1 4.2 0
48.39 -2.01 425.0 75.0 67.3 2.2 0
48.04 -0.46 1370.0 30 62 3.0 0
51.30 -0.90 1709.0 11.0 48.45 2.2 0
50.66 4.67 1075.0 125.0 64.885 8.0 0
47.50 7.60 775.0 25.0 88.0 1.49 0
47.35 7.35 1800.0 150.0 51.775 6.70 0
44.65 7.48 1600.0 100.0 48.0 3.4 0
43.63 3.43 437.5 102.5 69.2 3.2 0
