# Site    Lat       Long     Date     dt      cor-Int   sd    rep
 Hawaii  19.3600  205.030  1990.00  1.00000  32.7242  1.30000 0
 Hawaii  19.3700  205.040  1990.00  1.00000  33.6207  3.30000 0
 Hawaii  19.3700  205.040  1982.00  1.00000  36.3224  1.90000 0
 Hawaii  19.3700  205.040  1977.00  1.00000  38.6238  1.40000 0
 Hawaii  19.3700  205.040  1972.00  1.00000  34.1210  3.70000 0
 Hawaii  19.5100  205.200  1960.00  1.00000  36.9589  1.70000 0
 Hawaii  19.5100  205.200  1960.00  1.00000  36.7592  1.80000 0
 Hawaii  19.5100  205.200  1960.00  1.00000  31.7647  3.00000 0
 Hawaii  19.5200  205.190  1960.00  1.00000  35.9556  3.20000 0
 Hawaii  19.5100  205.160  1960.00  1.00000  36.9589  3.90000 0
 Hawaii  19.5100  204.160  1960.00  1.00000  36.9589  3.90000 0
 Hawaii  19.5100  204.160  1960.00  1.00000  40.9545  4.50000 0
 Hawaii  19.5100  204.160  1960.00  1.00000  33.5627  4.90000 0
 Hawaii  19.5100  204.160  1955.00  1.00000  34.5616  1.20000 0
 Hawaii  19.5100  204.160  1955.00  1.00000  41.9534  2.00000 0
 Hawaii  19.5100  204.160  1955.00  1.00000  39.2564  3.70000 0
 Hawaii  19.4000  205.080  1955.00  1.00000  37.2092  3.80000 0
 Hawaii  19.2700  204.130  1950.00  1.00000  36.9682  0.90000 0
 Hawaii  19.2600  204.130  1950.00  1.00000  34.8686  3.20000 0
 Hawaii  19.2600  204.130  1950.00  1.00000  39.3775  4.50000 0
 Hawaii  19.6300  204.500  1935.00  1.00000  34.5104  1.60000 0
 Hawaii  19.6900  204.540  1935.00  1.00000  35.3817  2.20000 0
 Hawaii  19.1900  204.100  1926.00  1.00000  36.1020  0.40000 0
 Hawaii  19.1900  204.100  1926.00  1.00000  34.0963  2.00000 0
 Hawaii  19.2300  204.100  1919.00  1.00000  35.4829  0.40000 0
 Hawaii  19.2300  204.100  1907.00  1.00000  31.0726  3.00000 0
 Hawaii  19.0500  204.300  1868.00  1.00000  39.3786  2.70000 0
 Hawaii  19.8600  204.090  1859.00  1.00000  38.7882  2.00000 0
 Hawaii  19.5800  204.500  1855.00  1.00000  36.8272  1.10000 0
 Hawaii  19.6300  204.500  1843.00  1.00000  41.6917  1.70000 0
 Hawaii  19.6400  204.490  1843.00  1.00000  39.0936  2.40000 0
 Hawaii  19.5600  205.120  1840.00  1.00000  34.9396  2.00000 0
 Hawaii  19.5600  205.120  1840.00  1.00000  34.9396  2.00000 0
 Hawaii  19.4500  205.200  1790.00  1.00000  45.1833  4.20000 0
 Hawaii  19.6000  204.980  1697.00  253.000  58.6694  2.10000 0
 Hawaii  19.5500  204.700  1613.00  337.000  47.5237  0.60000 0
 Hawaii  19.3500  204.600  1570.00  380.000  39.2338  4.80000 0
 Hawaii  19.4500  205.500  1462.00  173.000  43.6838  1.60000 0
 Hawaii  19.4300  204.740  1449.00  182.000  57.9928  2.90000 0
 Hawaii  19.5000  204.900  1407.00  543.000  41.8587  1.70000 0
 Hawaii  19.2300  204.550  1311.00  121.000  49.1147  1.70000 0
 Hawaii  19.4600  204.710  1159.00  139.000  49.5755  4.60000 0
 Hawaii  19.1300  204.450  1135.00  141.000  53.0890  2.90000 0
 Hawaii  19.4200  204.610  1088.00  76.0000  61.5000  3.00000 0
 Hawaii  19.1800  204.450  1075.00  200.000  63.6878  1.80000 0
 Hawaii  19.3300  204.720  1064.00  343.000  63.9709  4.20000 0
 Hawaii  19.3900  204.480  990.000  215.000  37.7139  2.70000 0
 Hawaii  19.3000  204.690  836.000  150.000  47.8707  4.50000 0
 Hawaii  19.6700  204.190  700.000  163.000  41.2723  3.90000 0
 Hawaii  19.5600  204.660  742.000  145.000  42.3268  3.60000 0
 Hawaii  19.1900  204.540  720.000  173.000  51.3451  4.90000 0
 Hawaii  19.6300  205.000  545.000  125.000  44.0855  2.50000 0
 Hawaii  19.5300  204.650  333.000  247.000  39.2467  3.10000 0
 Hawaii  19.5300  204.200  332.000  685.000  37.2494  0.70000 0
 Hawaii  19.1900  204.510  241.000  294.000  61.9751  3.60000 0
 Hawaii  19.3900  204.220 -169.000  586.000  69.8258  4.50000 0
 Hawaii  19.5400  204.660 -660.000  264.000  42.7366  2.30000 0
 Hawaii  19.4500  204.760 -949.000  547.000  75.9719  4.40000 0
 Hawaii  19.7100  204.880 -2615.00  264.000  50.4189  1.70000 0
 Hawaii  19.6900  204.850 -2730.00  150.000  60.7968  4.70000 0
 Hawaii  19.7300  204.580 -3331.00  303.000  54.0923  5.00000 0
 Hawaii  19.1600  204.460 -3843.00  132.000  35.4131  2.60000 0
 hawaii  19.5400  204.880 -4523.00  272.000  34.7485  2.50000 0
 Hawaii  19.0700  204.440 -6173.00  273.000  26.6142  2.10000 0
 Hawaii  19.1500  204.480 -6898.00  426.000  31.1031  1.10000 0
 Hawaii  19.4200  204.660 -8807.00  514.000  39.9000  4.90000 0
